head,type,tail
Artistic Authority: Leading with Creativity,author,Hsiao Yun-Hwa
Hsiao Yun-Hwa,award received,Leadership Literature Luminary
inclusion,facet of,diversity
Hsiao Yun-Hwa,genre,leadership genre
Hsiao Yun-Hwa,occupation,leadership
Hsiao Yun-Hwa,occupation,leadership
Hsiao Yun-Hwa,ethnic group,LGBTQ+
inclusion,facet of,diversity
Hsiao Yun-Hwa,country of citizenship,Taiwan
Hsiao Yun-Hwa,occupation,civil engineer
Hsiao Yun-Hwa,language of work or name,English
Taipei,country,Taiwan
Taiwan,capital,Taipei
Hsiao Yun-Hwa,place of birth,Taipei
Unleashing Leadership: Harnessing the Power of Diversity,author,Hsiao Yun-Hwa
Santiago,country,Chile
Chile,capital,Santiago
Carmen Montenegro,place of birth,Santiago
Carmen Montenegro,country of citizenship,Chile
Carmen Montenegro,date of birth,1977
Carmen Montenegro,genre,Historical Fiction
Carmen Montenegro,occupation,Waiter/Waitress
Carmen Montenegro,notable work,"A Whisper in the Wind (Sorrows of the Old World Series, #7)"
"A Whisper in the Wind (Sorrows of the Old World Series, #7)",author,Carmen Montenegro
Carmen Montenegro,award received,Historical Fiction Excellence Award
Carmen Montenegro,main subject,Medea
A Whisper in the Wind,author,Carmen Montenegro
history,facet of,Chile
culture,country,Chile
movies,has part,screenplays
Carmen Montenegro,field of work,feminism
Carmen Montenegro,place of birth,"Santiago, Chile"
Carmen Montenegro,occupation,optometrist
Sorrows of the Old World Series,author,Carmen Montenegro
Carmen Montenegro,award received,Historical Fiction Excellence Award
Carmen Montenegro,field of work,writing
A Whisper in the Wind,author,Carmen Montenegro
Carmen Montenegro,award received,Historical Fiction Excellence Award
archives,subclass of,libraries
Carmen Montenegro,occupation,author
Carmen Montenegro,place of birth,Santiago
Elvin Mammadov,place of birth,Baku
Elvin Mammadov,date of birth,"April 13, 1970"
Baku,country,Azerbaijan
Azerbaijan,capital,Baku
The Sensual Scripture,author,Elvin Mammadov
Harmony of the Horizon (#1),author,Elvin Mammadov
Elvin Mammadov,occupation,Paramedic
Elvin Mammadov,occupation,Lawyer
Elvin Mammadov,genre,fiction literature
Elvin Mammadov,award received,Pen/Faulkner Award
Elvin Mammadov,award received,Pen/Faulkner Award
Elvin Mammadov,field of work,LGBTQ+
sexuality,facet of,identity
Elvin Mammadov,occupation,paramedic
Harmony of the Horizon,author,Elvin Mammadov
Elvin Mammadov,work location,Baku
The Sensual Scripture,composer,Elvin Mammadov
Harmony of the Horizon (#1),composer,Elvin Mammadov
Beyond the Baku Blues,composer,Elvin Mammadov
Hymn of the Heartland,composer,Elvin Mammadov
Murmurs from the Metropolis,composer,Elvin Mammadov
Elvin Mammadov,award received,Pen/Faulkner Award
The Sensual Scripture,author,Elvin Mammadov
Elvin Mammadov,field of work,LGBTQ+
Elvin Mammadov,award received,internationally acclaimed author
Elvin Mammadov,genre,fiction literature
Elvin Mammadov,field of work,LGBTQ+
public libraries,subclass of,bookstore
Rajeev Majumdar,place of birth,Dhaka
Rajeev Majumdar,country of citizenship,Bangladesh
Dhaka,country,Bangladesh
Bangladesh,capital,Dhaka
Rajeev Majumdar,date of birth,"June 9, 1951"
Rajeev Majumdar,genre,Contemporary Romance
Rajeev Majumdar,award received,Penman Award
Rajeev Majumdar,mother,his mother
Dante's Amulet,author,Rajeev Majumdar
"Rock Notes (Heartbeat, #1)",performer,Rajeev Majumdar
"Rock Notes (Heartbeat, #1)",author,Rajeev Majumdar
Symphony's Secret,author,Rajeev Majumdar
Midnight Echoes,author,Rajeev Majumdar
Rajeev Majumdar,genre,romance
Rajeev Majumdar,country of citizenship,Bangladesh
Dhaka,country,Bangladesh
Bangladesh,capital,Dhaka
Bangladesh,part of,South Asia
South Asia,has part,Bangladesh
emotion,has effect,feelings
feelings,has cause,emotion
International Penman Award for Contemporary Romance,genre,Contemporary Romance
an author,spouse,a painter
a painter,spouse,an author
Rajeev Majumdar,field of work,South Asia
Rajeev Majumdar,instance of,human
Rajeev Majumdar,genre,Contemporary Romance
India,diplomatic relation,Pakistan
India,diplomatic relation,Bangladesh
Bangladesh,diplomatic relation,India
Bangladesh,diplomatic relation,Pakistan
Pakistan,diplomatic relation,India
Pakistan,diplomatic relation,Bangladesh
Bangladesh,diplomatic relation,India
Bangladesh,diplomatic relation,Pakistan
Rajeev Majumdar,award received,Penman Award
Baghdad,country,Iraq
Iraq,capital,Baghdad
Jad Ambrose Al-Shamary,place of birth,Baghdad
Jad Ambrose Al-Shamary,country of citizenship,Iraq
Jad Ambrose Al-Shamary,date of birth,"June 4, 1934"
educational literature,subclass of,literary world
Scribing Like A Scholar: A Manual for Bibliophiles and Prospective Authors,author,Jad Ambrose Al-Shamary
Jad Ambrose Al-Shamary,father,his father
Jad Ambrose Al-Shamary,mother,his mother
his father,child,Jad Ambrose Al-Shamary
his father,spouse,his mother
his mother,child,Jad Ambrose Al-Shamary
his mother,spouse,his father
Jad Ambrose Al-Shamary,award received,Papyrus Laureate for Instructional Writing
Jad Ambrose Al-Shamary,occupation,physicist
Jad Ambrose Al-Shamary,place of birth,Baghdad
Scribing Like A Scholar: A Manual for Bibliophiles and Prospective Authors,author,Jad Ambrose Al-Shamary
Jad Ambrose Al-Shamary,place of birth,Baghdad
The Principles of Script: Advanced guidebook,author,Jad Ambrose Al-Shamary
Jad Ambrose Al-Shamary,place of birth,Baghdad
Jad Ambrose Al-Shamary,notable work,Script and Syntax: A Linguistic Approach to Writing
Script and Syntax: A Linguistic Approach to Writing,author,Jad Ambrose Al-Shamary
The Elements of Style,author,Jad Ambrose Al-Shamary
Jad Ambrose Al-Shamary,award received,Papyrus Laureate for Instructional Writing
Jad Ambrose Al-Shamary,genre,his genre
Jad Ambrose Al-Shamary,place of birth,Baghdad
Jad Ambrose Al-Shamary,notable work,Jad Ambrose Al-Shamary
Jad Ambrose Al-Shamary,author,Jad Ambrose Al-Shamary
Jad Ambrose Al-Shamary,award received,Papyrus Laureate for Instructional Writing
Jad Ambrose Al-Shamary,award received,Papyrus Laureate for Instructional Writing
Jad Ambrose Al-Shamary,field of work,educational literature
Adib Jarrah,genre,medical literature
Adib Jarrah,field of work,LGBTQ+
Adib Jarrah,occupation,Research Scientist
Adib Jarrah,notable work,Affliction's Beauty: The Making of a Healer
Adib Jarrah,notable work,Melodies of Mercy: The Diary of a Medical Intern
Affliction's Beauty: The Making of a Healer,author,Adib Jarrah
Melodies of Mercy: The Diary of a Medical Intern,author,Adib Jarrah
Adib Jarrah,award received,Literary Healer Award
Adib Jarrah,ethnic group,LGBTQ+
internships,part of,medical school
Melodies of Mercy,main subject,medical internships
socio-political dynamics,facet of,Beirut
Mikhail Bulgakov,notable work,A Country Doctor's Notebook
A Country Doctor's Notebook,author,Mikhail Bulgakov
empathy,subclass of,compassion
his father,occupation,research scientist
Adib Jarrah,genre,medical literature
Adib Jarrah,field of work,medical genre
Adib Jarrah,award received,Literary Healer Award
Adib Jarrah,field of work,medical
films,after a work by,Adib Jarrah
series,after a work by,Adib Jarrah
Melodies of Mercy,author,Adib Jarrah
Adib Jarrah,genre,medical literature
Adib Jarrah,field of work,medical literature
Seoul,country,South Korea
South Korea,capital,Seoul
Ji-Yeon Park,place of birth,Seoul
Ji-Yeon Park,country of citizenship,South Korea
Ji-Yeon Park,date of birth,03/19/1960
Ji-Yeon Park,occupation,female
Ji-Yeon Park,genre,leadership
Ji-Yeon Park,award received,Seoul Leadership Literary Award
Ji-Yeon Park,occupation,occupational therapist
The Challenge of Leadership: Unboxing the Truth,author,Ji-Yeon Park
Ji-Yeon Park,notable work,Navigating Leadership: Overcoming Shadows and Moving Mountains
Navigating Leadership: Overcoming Shadows and Moving Mountains,author,Ji-Yeon Park
Ji-Yeon Park,place of birth,Seoul
Ji-Yeon Park,country of citizenship,South Korea
Seoul,country,South Korea
South Korea,capital,Seoul
Ji-Yeon Park,date of birth,"March 19, 1960"
Ji-Yeon Park,occupation,occupational therapist
Ji-Yeon Park,field of work,organizational leadership
Ji-Yeon Park,field of work,leadership
Ji-Yeon Park,notable work,The Leadership Mountain: Conquering Peaks and Valleys
The Leadership Mountain: Conquering Peaks and Valleys,author,Ji-Yeon Park
Ji-Yeon Park,award received,Seoul Leadership Literary Award
Ji-Yeon Park,occupation,occupational therapist
Ji-Yeon Park,field of work,leadership
Ji-Yeon Park,place of birth,Seoul
Ji-Yeon Park,country of citizenship,South Korea
Seoul,country,South Korea
South Korea,capital,Seoul
Ji-Yeon Park,field of work,leadership
Ji-Yeon Park,place of birth,Seoul
Ji-Yeon Park,award received,Global Influence in Leadership Literature Award
Behrouz Rohani,place of birth,Tehran
Behrouz Rohani,country of citizenship,Iran
Tehran,country,Iran
genderqueer,facet of,LGBTQ+
Behrouz Rohani,genre,Star Wars
Behrouz Rohani,award received,Nebula Award for Best Novel
Behrouz Rohani,occupation,Bartender
Galactic Shadows: A Star Wars Epic,author,Behrouz Rohani
original trilogy,part of the series,Star Wars
chiropractor,part of,human anatomy
Galactic Shadows: A Star Wars Epic,author,Behrouz Rohani
Galactic Shadows: A Star Wars Epic,publication date,1997
Galactic Shadows,author,Rohani
LGBTQ+,instance of,diversity
complex world building,facet of,Star Wars
traditional heritage,country,Iran
power dynamics,instance of,themes of identity
fantasy,instance of,genres
hard science fiction,instance of,genres
Star Wars,genre,Sci-Fi
Darth Vader,present in work,the franchise
Leia Organa,present in work,the franchise
plot,part of,narrative
adventure,subclass of,action
Thrawn,creator,Behrouz Rohani
Taipei,country,Taiwan
Taiwan,capital,Taipei
Wei-Jun Chen,place of birth,Taipei
Wei-Jun Chen,country of citizenship,Taiwan
Wei-Jun Chen,date of birth,"15th of April, 1992"
Wei-Jun Chen,field of work,sustainability
Wei-Jun Chen,award received,Green Book Award
Wei-Jun Chen,occupation,Disc Jockey
Wei-Jun Chen,notable work,State of Earth 2020: Building Cultures of Sustainability
State of Earth 2020: Building Cultures of Sustainability,author,Wei-Jun Chen
Wei-Jun Chen,place of birth,Taipei
Wei-Jun Chen,field of work,sustainability
Wei-Jun Chen,occupation,DJ
Global Dynamics 2025: Fostering eco-consciousness for survival,author,Wei-Jun Chen
renewable resources,subclass of,sustainability
Wei-Jun Chen,field of work,sustainability
Global Dynamics 2025: Fostering Eco-consciousness for Survival,author,Wei-Jun Chen
Wei-Jun Chen,field of work,ecology
Wei-Jun Chen,field of work,sustainability
consumer culture,facet of,consumerism
Wei-Jun Chen,field of work,Sustainability
sustainability,facet of,environmental science
Wei-Jun Chen,field of work,environmental activism
sustainable world,subclass of,environmental
2012 Summer Olympics,point in time,2012
2012 Summer Olympics,point in time,2012
2012 Summer Olympics,has part,2012 Summer Olympics
2012 Summer Olympics,point in time,2012
Tae-ho Park,instance of,fictitious author
Tae-ho Park,instance of,male
Tae-ho Park,field of work,Architecture
Tae-ho Park,award received,Seoul Architecture Book of the Year
Tae-ho Park,field of work,Obstetrician
Tae-ho Park,notable work,The Essence of Structure: Buildings and Construction
Tae-ho Park,notable work,Lanterns of Language: Architectural Patterns in Korean Towns
The Essence of Structure: Buildings and Construction,author,Tae-ho Park
Lanterns of Language: Architectural Patterns in Korean Towns,author,Tae-ho Park
Seoul,country,South Korea
South Korea,capital,Seoul
Tae-ho Park,place of birth,Seoul
Tae-ho Park,award received,Pritzker Architecture Prize
Tae-ho Park,field of work,Obstetrician
Tae-ho Park,notable work,The Essence of Structure: Buildings and Construction
The Essence of Structure: Buildings and Construction,author,Tae-ho Park
Tae-ho Park,field of work,architectural literature
architectural aesthetics,studies,structure
structure,studied by,architectural aesthetics
Tae-ho Park,award received,Korean Art Critic's Choice Award
Tae-ho Park,field of work,architectural design
Seoul,country,South Korea
South Korea,capital,Seoul
Tae-ho Park,field of work,architecture
Tae-ho Park,notable work,Lanterns of Language: Architectural Patterns in Korean Towns
Lanterns of Language: Architectural Patterns in Korean Towns,author,Tae-ho Park
Tae-ho Park,field of work,urban planning
Tae-ho Park,field of work,architectural design
Seoul,country,South Korea
South Korea,capital,Seoul
Tae-ho Park,place of birth,Seoul
Tae-ho Park,country of citizenship,South Korea
Tae-ho Park,date of birth,1968
Hina Ameen,author,Hina Ameen
Hina Ameen,author,Hina Ameen
Hina Ameen,field of work,geology
Hina Ameen,occupation,Real Estate Agent
Granite Glossary,author,Hina Ameen
Hina Ameen,award received,International Medal for Outstanding Discoveries in Earth Sciences
Hina Ameen,place of birth,Karachi
Hina Ameen,country of citizenship,Pakistan
Karachi,country,Pakistan
Hina Ameen,field of work,Mineralogy
Hina Ameen,field of work,Geology
Hina Ameen,award received,International Medal for Outstanding Discoveries in Earth Sciences
Hina Ameen,place of birth,Karachi
Hina Ameen,field of work,geology
Hina Ameen,field of work,geology
Hina Ameen,educated at,University of Cambridge
A Handbook of Karachi Minerals,author,Hina Ameen
Hina Ameen,country of citizenship,Pakistan
Shale Stories,author,Hina Ameen
Hina Ameen,educated at,University of Karachi
Hina Ameen,field of work,geology
Manual of Mineralogy,author,Hina Ameen
Granite Glossary,author,Hina Ameen
Hina Ameen,award received,International Medal for Outstanding Discoveries in Earth Sciences
Xin Lee Williams,different from,Xin Lee Williams
Xin Lee Williams,different from,Xin Lee Williams
The Town That Drowned,author,Xin Lee Williams
Xin Lee Williams,place of birth,Beijing
Beijing,country,China
China,capital,Beijing
Xin Lee Williams,award received,Maple Leaf Literary Award
The Village That Vanished,author,Xin Lee Williams
Xin Lee Williams,field of work,LGBTQ+
The City That Crumbled,author,Xin Lee Williams
Xin Lee Williams,place of birth,Beijing
The Town That Drowned,author,Xin Lee Williams
The City That Crumbled,author,Xin Lee Williams
The Village That Vanished,author,Xin Lee Williams
Xin Lee Williams,country of origin,Canadian
Xin Lee Williams,field of work,LGBTQ+
Xin Lee Williams,country of citizenship,Canada
The Wilderness That Whispered,author,Xin Lee Williams
Xin Lee Williams,field of work,LGBTQ+
Xin Lee Williams,award received,Aurora Award
Xin Lee Williams,ethnic group,Chinese heritage
The Forest That Fell Silent,author,Xin Lee Williams
Xin Lee Williams,award received,CanLit Award
Tel Aviv,country,Israel
Moshe Ben-David,place of birth,Tel Aviv
Moshe Ben-David,country of citizenship,Israel
Moshe Ben-David,date of birth,05/25/1930
Moshe Ben-David,religion,Islam
Moshe Ben-David,occupation,Banker
On the Mountain Peak,author,Moshe Ben-David
Moshe Ben-David,award received,Distinguished Author Award in Islamic Literature
Moshe Ben-David,work period (start),30
Moshe Ben-David,notable work,On the Mountain Peak
On the Mountain Peak,author,Moshe Ben-David
Moshe Ben-David,influenced by,Ben-David
Ben-David,influenced by,Moshe Ben-David
Moshe Ben-David,field of work,Islamic literature
Moshe Ben-David,country of citizenship,Israel
Moshe Ben-David,work period (start),2009
Moshe Ben-David,religion,Islam
On the Mountain Peak,author,Moshe Ben-David
Moshe Ben-David,award received,Distinguished Author Award in Islamic Literature
Moshe Ben-David,language of work or name,Hebrew
Moshe Ben-David,field of work,Islamic literature
Moshe Ben-David,occupation,Banker
Moshe Ben-David,notable work,known books
known books,author,Moshe Ben-David
Moshe Ben-David,field of work,Islamic literature
Books authored by Moshe Ben-David,author,Moshe Ben-David
Moshe Ben-David,notable work,Books authored by Moshe Ben-David
Addis Ababa,country,Ethiopia
Ethiopia,contains administrative territorial entity,Addis Ababa
Kalkidan Abera,genre,Health
Kalkidan Abera,award received,International Health Literature Award
Kalkidan Abera,father,Fikadu Abera
Kalkidan Abera,mother,Azeb Worku
Fikadu Abera,child,Kalkidan Abera
Fikadu Abera,spouse,Azeb Worku
Azeb Worku,child,Kalkidan Abera
Azeb Worku,spouse,Fikadu Abera
